,timestamp,Open,High,Low,Close,Adj Close,Volume
128,2020-05-05,1.15,1.18,1.1,1.15,1.15,2111400
129,2020-05-06,1.21,1.28,1.17,1.27,1.27,4860800
130,2020-05-07,1.35,1.59,1.27,1.54,1.54,10412300
131,2020-05-08,1.75,2.13,1.56,1.85,1.85,20202600
132,2020-05-11,1.8,1.87,1.5,1.59,1.59,9050000
133,2020-05-12,1.61,1.74,1.52,1.6,1.6,4215700
134,2020-05-13,1.64,1.91,1.6,1.89,1.89,8303700
135,2020-05-14,2.1,2.58,1.92,2.28,2.28,21548400
136,2020-05-15,2.27,2.34,2.01,2.08,2.08,6998700
137,2020-05-18,2.18,2.31,2.06,2.19,2.19,5543800
138,2020-05-19,2.2,2.415,2.15,2.23,2.23,5389200
139,2020-05-20,2.45,2.75,2.37,2.53,2.53,12852500
140,2020-05-21,2.43,2.52,2.15,2.33,2.33,6331400
141,2020-05-22,2.37,2.38,2.2,2.24,2.24,3030100
142,2020-05-26,2.17,2.17,1.93,1.95,1.95,5653900
143,2020-05-27,2.13,2.21,1.99,2.12,2.12,4581900
144,2020-05-28,2.22,2.35,2.18,2.21,2.21,4949300
145,2020-05-29,2.2,2.21,2.06,2.14,2.14,2461500
146,2020-06-01,2.14,2.32,2.14,2.27,2.27,4076800
147,2020-06-02,2.62,2.98,2.34,2.51,2.51,16278000
148,2020-06-03,2.6,2.65,2.32,2.41,2.41,5059300
149,2020-06-04,2.54,2.74,2.41,2.63,2.63,6913300
150,2020-06-05,2.57,2.68,2.42,2.6,2.6,4229500
151,2020-06-08,2.58,2.66,2.48,2.57,2.57,3545800
152,2020-06-09,2.55,2.65,2.43,2.62,2.62,3665000
153,2020-06-10,2.68,3.31,2.57,3.1,3.1,18090900
154,2020-06-11,2.68,2.819,2.16,2.18,2.18,11006000
155,2020-06-12,2.45,2.4619999999999997,2.14,2.29,2.29,4839100
156,2020-06-15,2.1,2.375,2.05,2.31,2.31,4674200
157,2020-06-16,2.46,2.48,2.28,2.35,2.35,2646800
158,2020-06-17,2.35,2.35,2.21,2.27,2.27,1695700
159,2020-06-18,2.27,2.28,2.19,2.19,2.19,1934300
160,2020-06-19,2.25,2.32,2.11,2.11,2.11,3511000
161,2020-06-22,2.23,2.7,2.14,2.51,2.51,10076100
162,2020-06-23,2.568,2.84,2.41,2.6,2.6,7705100
163,2020-06-24,2.5,2.52,2.24,2.37,2.37,5062600
164,2020-06-25,2.22,2.38,2.22,2.33,2.33,1906300
165,2020-06-26,2.28,2.3,2.15,2.2,2.2,2817900
166,2020-06-29,2.1630000000000003,2.18,2.04,2.14,2.14,2961000
167,2020-06-30,2.1,2.36,2.08,2.22,2.22,3369000
168,2020-07-01,2.21,2.41,2.21,2.34,2.34,3538300
169,2020-07-02,2.38,2.385,2.19,2.29,2.29,3108700
170,2020-07-06,2.35,2.49,2.31,2.38,2.38,4540800
171,2020-07-07,2.38,2.385,2.23,2.29,2.29,2244000
172,2020-07-08,2.33,2.58,2.3080000000000003,2.54,2.54,9039500
173,2020-07-09,2.59,2.6,2.26,2.36,2.36,5068600
174,2020-07-10,2.3,2.39,2.25,2.33,2.33,1765900
175,2020-07-13,2.34,2.376,2.16,2.18,2.18,3641200
176,2020-07-14,2.15,2.25,2.09,2.25,2.25,1919500
177,2020-07-15,2.27,2.28,2.18,2.26,2.26,1526600
178,2020-07-16,2.2,2.23,2.16,2.22,2.22,1761600
179,2020-07-17,2.25,2.26,2.18,2.23,2.23,1595100
180,2020-07-20,2.22,2.27,2.15,2.26,2.26,2079900
181,2020-07-21,2.35,2.37,2.25,2.3,2.3,3807900
182,2020-07-22,2.3,2.37,2.24,2.34,2.34,5382500
183,2020-07-23,2.4,2.45,2.23,2.29,2.29,7573500
184,2020-07-24,2.25,2.285,2.06,2.22,2.22,8569200
185,2020-07-27,2.62,3.08,2.47,2.64,2.64,52558900
186,2020-07-28,2.87,3.2,2.66,2.77,2.77,43346200
187,2020-07-29,2.88,2.91,2.7,2.75,2.75,15147400
188,2020-07-30,2.5610000000000004,2.66,2.36,2.55,2.55,10283700
189,2020-07-31,2.6,2.8,2.43,2.64,2.64,14558800
190,2020-08-03,2.9,4.0,2.75,3.5,3.5,58695600
191,2020-08-04,3.2,3.67,3.03,3.4,3.4,14269800
192,2020-08-05,4.07,4.45,3.83,4.01,4.01,39855500
193,2020-08-06,4.37,4.58,4.02,4.25,4.25,27231000
194,2020-08-07,4.12,4.15,3.51,3.77,3.77,14667500
195,2020-08-10,4.255,4.28,4.0,4.13,4.13,12386000
196,2020-08-11,3.78,4.04,3.54,3.62,3.62,10213600
197,2020-08-12,3.75,3.83,3.5,3.54,3.54,5697500
198,2020-08-13,3.42,3.75,3.05,3.61,3.61,11009400
199,2020-08-14,3.67,3.84,3.39,3.78,3.78,10691500
200,2020-08-17,3.95,4.41,3.77,4.15,4.15,21029500
201,2020-08-18,4.0,4.2,3.91,4.04,4.04,9456000
202,2020-08-19,3.87,4.06,3.63,3.69,3.69,8062900
203,2020-08-20,3.73,4.05,3.71,3.99,3.99,7506700
204,2020-08-21,3.82,3.94,3.67,3.725,3.725,5926100
205,2020-08-24,3.78,3.79,3.52,3.63,3.63,4019400
206,2020-08-25,3.41,3.6,3.18,3.58,3.58,7397600
207,2020-08-26,3.4,3.56,3.35,3.41,3.41,3852000
208,2020-08-27,3.46,3.5,3.15,3.27,3.27,4789700
209,2020-08-28,3.23,3.65,3.21,3.59,3.59,8666400
210,2020-08-31,3.66,3.7,3.35,3.5,3.5,4588200
211,2020-09-01,3.52,3.88,3.42,3.75,3.75,8504900
212,2020-09-02,3.51,3.52,3.3,3.43,3.43,5030500
213,2020-09-03,3.1,3.29,3.06,3.16,3.16,5900100
214,2020-09-04,3.08,3.2,2.54,3.11,3.11,8056200
215,2020-09-08,2.84,3.02,2.63,2.82,2.82,4434900
216,2020-09-09,2.88,3.09,2.88,2.95,2.95,3976600
217,2020-09-10,3.01,3.2,2.78,2.81,2.81,4480900
218,2020-09-11,2.87,2.97,2.75,2.91,2.91,2951000
219,2020-09-14,3.068,3.12,2.8739999999999997,3.02,3.02,4284400
220,2020-09-15,3.11,3.13,2.95,3.0,3.0,2856100
221,2020-09-16,3.02,3.28,2.96,3.05,3.05,6377500
222,2020-09-17,2.92,3.06,2.9,3.0,3.0,2852400
223,2020-09-18,3.03,3.06,2.88,3.05,3.05,3944300
224,2020-09-21,2.85,3.03,2.75,2.93,2.93,3625500
225,2020-09-22,2.95,2.96,2.835,2.93,2.93,2511300
226,2020-09-23,2.9,2.92,2.6,2.6,2.6,4315400
227,2020-09-24,2.55,2.77,2.35,2.69,2.69,4218800
228,2020-09-25,2.66,2.78,2.6,2.68,2.68,3685800
229,2020-09-28,2.79,2.81,2.66,2.74,2.74,3243400
230,2020-09-29,2.7,2.78,2.66,2.76,2.76,1996600
231,2020-09-30,2.73,2.7569999999999997,2.63,2.7,2.7,1880700
232,2020-10-01,2.71,2.74,2.62,2.65,2.65,1740100
233,2020-10-02,2.53,2.61,2.5,2.6,2.6,2138300
234,2020-10-05,2.63,2.68,2.57,2.66,2.66,2047500
235,2020-10-06,2.66,2.67,2.53,2.57,2.57,2444300
236,2020-10-07,2.57,2.66,2.5469999999999997,2.66,2.66,2148100
237,2020-10-08,2.77,3.09,2.72,2.93,2.93,9775100
238,2020-10-09,3.15,3.15,2.96,3.095,3.095,6531000
239,2020-10-12,3.22,3.65,3.16,3.5,3.5,12692100
240,2020-10-13,3.467,3.47,3.22,3.37,3.37,5209300
241,2020-10-14,3.33,3.49,3.21,3.28,3.28,4023900
242,2020-10-15,3.176,3.47,3.076,3.4,3.4,3605700
243,2020-10-16,3.37,3.37,3.11,3.11,3.11,4208700
244,2020-10-19,3.32,3.55,3.25,3.3,3.3,8909400
245,2020-10-20,3.45,3.77,3.41,3.54,3.54,13717600
246,2020-10-21,3.93,4.14,3.76,3.98,3.98,18072900
247,2020-10-22,4.18,4.26,3.83,4.055,4.055,15856100
248,2020-10-23,3.97,4.01,3.68,3.91,3.91,7305400
249,2020-10-26,3.98,4.03,3.61,3.85,3.85,6772300
250,2020-10-27,4.03,4.16,3.86,4.02,4.02,10807100
251,2020-10-28,3.71,3.83,3.36,3.5,3.5,8592400
252,2020-10-29,3.5,3.73,3.44,3.55,3.55,4587400
