U_GPRO,U_CCL,U_TSLA,U_DAL,U_DIS,U_AAL,U_MSFT,U_AAPL,U_GE,U_F
253767.16666666666,3328.0,120106.16666666667,15157.0,201899.0,10728.833333333334,245395.66666666666,215630.08333333334,298013.5833333333,321185.1666666667
254094.29166666666,3327.7083333333335,120386.58333333333,15159.541666666666,202025.875,10722.958333333334,245761.25,216256.95833333334,298665.9166666667,321614.4583333333
255107.04166666666,3339.75,121590.91666666667,15194.041666666666,202436.45833333334,10815.708333333334,247000.08333333334,218085.04166666666,301982.0416666667,322774.1666666667
255454.58333333334,3384.695652173913,122393.66666666667,15268.391304347826,202701.1739130435,11075.695652173914,247850.91304347827,218891.33333333334,302919.7826086957,323802.4347826087
255459.69565217392,3384.0,122392.0,15267.0,202697.0,11075.0,247845.0,218886.0,302916.0,323800.0
255466.0,3384.0,122391.0,15267.333333333334,202693.33333333334,11075.666666666666,247843.66666666666,218882.33333333334,302912.3333333333,323800.3333333333
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
303392.0869565217,28809.347826086956,162486.4347826087,41876.86956521739,251761.0,41865.69565217391,335022.7826086957,266608.17391304346,351061.26086956525,418890.652173913
307756.875,32801.375,164630.5,44828.25,258979.875,47788.958333333336,338147.9583333333,268990.4583333333,356890.6666666667,427136.0416666667
311171.0,36710.708333333336,163288.79166666666,48058.833333333336,263657.5,52702.916666666664,338338.2916666667,268337.6666666667,360030.8333333333,431769.4166666667
316270.6666666667,45087.666666666664,162565.75,55007.875,274021.375,63119.0,339892.1666666667,269449.25,365935.0833333333,440121.0416666667
321998.2083333333,52991.541666666664,165611.20833333334,60710.083333333336,284579.7916666667,73359.79166666667,342277.5833333333,271992.3333333333,373566.9166666667,449381.9583333333
322114.9166666667,52992.0,165588.0,60706.0,284545.0,73361.0,342215.0,271949.0,373561.9166666667,449373.375
327171.5416666667,57637.739130434784,166924.65217391305,64440.47826086957,289699.3043478261,79335.47826086957,344706.39130434784,273836.52173913043,378224.0869565217,455713.0869565217
342224.8888888889,72335.88888888889,172197.0,76731.33333333333,306835.8888888889,93761.11111111111,352576.55555555556,278777.77777777775,392168.0,474083.1111111111
346474.6666666667,79267.79166666667,175659.79166666666,83449.83333333333,316552.7916666667,99589.75,354017.0833333333,280016.5,397566.375,480962.3333333333
350372.9583333333,91717.04166666667,182046.75,95399.0,328914.0,112617.45833333333,356723.2916666667,282017.2083333333,404986.75,491735.375
354502.0869565217,104508.95652173914,188409.34782608695,108364.30434782608,338177.347826087,128615.30434782608,361102.95652173914,286059.39130434784,414893.82608695654,505119.8695652174
357274.125,111881.75,191789.41666666666,118467.29166666667,352786.7916666667,138646.875,367694.9166666667,292383.4166666667,422500.5416666667,514015.4583333333
357271.125,111879.0,191766.25,118477.75,352764.875,138661.9375,367664.9375,292349.0,422498.9375,514038.3125
358600.6666666667,115924.66666666667,192088.33333333334,124294.41666666667,358920.75,144569.16666666666,369494.7916666667,294952.6666666667,427581.0,521178.75
362022.75,126669.75,193702.91666666666,138896.54166666666,371797.7083333333,158199.875,373769.6666666667,300658.0833333333,440825.875,541904.4583333334
366767.0909090909,142297.22727272726,197573.86363636365,154208.31818181818,379456.54545454547,171371.0909090909,375248.7272727273,303377.04545454547,460207.6818181818,574517.8181818182
372021.9130434783,156950.60869565216,201012.47826086957,167379.78260869565,387326.9130434783,185518.8260869565,378784.652173913,307862.347826087,478095.4347826087,600954.3478260869
376940.25,165045.625,202959.83333333334,176853.875,393625.5,196177.79166666666,379857.5,309128.8333333333,486245.9583333333,614705.1666666666
380374.9583333333,170348.20833333334,203520.0,181601.125,400308.125,201686.41666666666,381712.625,310561.0833333333,490106.5416666667,621331.7916666666
380379.0,170344.0,203510.0,181590.0,400289.0,201674.0,381685.0,310538.0,490097.4583333333,621324.6666666666
382454.5,173629.08333333334,203716.75,184361.66666666666,402920.75,205780.33333333334,382139.9583333333,310953.75,493028.75,625410.0416666666
387437.0833333333,182024.91666666666,203899.54166666666,190922.20833333334,409999.5833333333,216802.125,384806.625,311992.1666666667,502540.375,637996.2916666666
389409.7083333333,192537.20833333334,203919.29166666666,198286.79166666666,418938.2083333333,226057.66666666666,390414.875,314383.8333333333,511847.4583333333,651948.75
390621.5,224593.47826086957,207696.73913043478,209790.39130434784,423472.6956521739,236049.21739130435,392378.17391304346,318005.5652173913,517627.17391304346,660398.695652174
392545.73913043475,250189.08695652173,210501.95652173914,219349.4347826087,426820.6956521739,249105.4347826087,393377.8695652174,320544.47826086957,523007.17391304346,667964.7826086957
393582.5833333333,258575.375,213554.25,226790.16666666666,430535.9583333333,259476.91666666666,394122.125,322228.0,526589.9583333334,672421.0416666666
393583.0,258595.0,213550.0,226799.0,430526.0,259491.0,394110.0,322217.0,526594.625,672436.7916666666
394612.4583333333,262391.75,213701.33333333334,231802.79166666666,431872.2916666667,266607.375,393549.5416666667,322309.5416666667,528989.5,675639.0
397228.4166666667,279096.8333333333,212754.75,244679.79166666666,433884.9583333333,280999.25,391766.0,322187.7916666667,536294.25,684672.2916666666
399288.8695652174,295307.73913043475,211314.8260869565,255892.39130434784,436574.47826086957,288275.7826086957,393989.652173913,324313.60869565216,545142.6086956522,689890.6086956522
400858.60869565216,306804.60869565216,211613.47826086957,266389.26086956525,441149.4347826087,293750.2173913043,396287.47826086957,325676.47826086957,550922.2608695652,691325.9130434783
402666.375,315203.0,211665.08333333334,274000.5,445661.7083333333,298543.2083333333,398217.4166666667,326754.625,556088.8333333334,693399.4166666666
402660.0,315183.0,211658.0,273990.0,445647.0,298524.0,398199.0,326738.0,556085.2083333334,693383.375
402660.0,315183.0,211658.0,273990.0,445647.0,298524.0,398199.0,326738.0,556086.8333333334,693392.5416666666
404083.375,320082.75,212225.41666666666,281557.9166666667,449518.75,304033.2916666667,399053.75,327834.0833333333,560217.5833333334,698584.2083333334
408349.9166666667,330635.375,214156.83333333334,297402.2916666667,456965.0833333333,316551.75,400622.5,330650.7083333333,569069.0833333334,708725.0
412860.4347826087,338025.652173913,215506.60869565216,308928.73913043475,460563.04347826086,329550.47826086957,400802.0,333597.47826086957,575756.695652174,714877.6521739131
416892.9166666667,345733.875,215479.54166666666,324446.375,465647.375,344419.5,402469.0,336836.5,583391.7083333334,721416.625
418107.6666666667,351504.3333333333,213667.83333333334,336307.25,469626.375,355211.4166666667,404425.375,338527.75,593067.2083333334,728524.7916666666
418879.7916666667,355334.9166666667,214400.04166666666,341490.3333333333,471699.1666666667,361194.0833333333,406598.7083333333,338819.4583333333,598814.0416666666,732371.3333333334
418880.0,355308.0,214382.0,341480.0,471679.0,361189.0,406561.0,338801.0,598811.0,732349.0
421022.73913043475,358302.39130434784,214177.21739130435,345687.82608695654,473888.6956521739,366047.652173913,407142.04347826086,339812.52173913043,603827.2173913043,736145.9565217391
426352.375,365524.25,212362.70833333334,356597.0416666667,480898.4166666667,378261.8333333333,408945.9166666667,343742.2083333333,616125.2083333334,745103.1666666666
428583.625,371020.5416666667,212409.25,367766.5833333333,487402.75,386961.9583333333,411506.2083333333,346498.75,624476.9166666666,751700.7083333334
430180.0,375300.5,212523.33333333334,381013.0833333333,490678.7916666667,397735.7083333333,412914.2916666667,348361.1666666667,632165.125,758732.6666666666
432186.375,377592.5416666667,212571.16666666666,389321.5,494728.9166666667,405570.9583333333,414426.3333333333,349423.7083333333,640634.2916666666,764460.0416666666
434236.2083333333,380054.5,211515.20833333334,394229.6666666667,497913.875,410675.0,414201.0,348829.375,648941.125,767568.0833333334
434236.0,380057.0,211510.0,394228.0,497907.0,410680.0,414191.0,348820.0,648943.0,767581.0
436306.5416666667,380962.5833333333,209945.83333333334,397731.6666666667,498647.2083333333,415703.9583333333,416165.75,349478.625,652236.9166666666,768672.125
440920.9166666667,384297.0833333333,206757.95833333334,406977.6666666667,500327.4583333333,427719.5,421722.9166666667,350730.375,660677.5416666666,774067.7916666666
444795.3333333333,391350.4166666667,207913.20833333334,412117.0416666667,502786.25,432057.375,425158.5416666667,351338.7916666667,672655.1666666666,782465.3333333334
448821.95652173914,401595.39130434784,205948.30434782608,420039.04347826086,505680.5652173913,439979.26086956525,424790.82608695654,352587.39130434784,680742.0434782609,783695.5217391305
451651.75,407410.7916666667,208456.625,428487.2083333333,509574.5,450258.5416666667,425036.75,355004.6666666667,689102.625,788132.2916666666
