U_ABB,U_TSLA,U_AMD,U_RIOT
3375.3333333333335,249356.83333333334,218441.83333333334,25206.125
3366.0,250029.65217391305,217592.34782608695,25230.260869565216
3366.0,250021.0,217592.0,25233.0
3374.75,251726.9,218415.6,25225.7
3391.125,255708.83333333334,218662.08333333334,25132.416666666668
3388.5652173913045,262325.7826086957,217798.65217391305,25034.91304347826
3375.8333333333335,274361.2083333333,218804.83333333334,25305.041666666668
3364.5,277063.25,219003.33333333334,25669.125
3372.0,280702.75,220777.66666666666,25927.833333333332
3372.0,280698.0,220773.0,25934.0
3386.0,285650.73913043475,221921.11111111112,26108.022222222222
3398.2916666666665,289421.5833333333,223044.83333333334,26180.083333333332
3408.7916666666665,294160.2083333333,223957.125,26106.708333333332
3414.3478260869565,297878.9130434783,224216.5652173913,25997.956521739132
3412.2083333333335,303353.375,224725.83333333334,25867.875
3416.0,306009.2083333333,224753.125,25839.125
3416.0,306002.0,224748.0,25843.0
3418.2916666666665,306539.9166666667,224961.08695652173,25795.521739130436
3418.4166666666665,307788.7083333333,225263.66666666666,25632.083333333332
3413.1666666666665,310956.625,225657.91666666666,25568.875
3406.5833333333335,317237.7916666667,226528.04166666666,25566.375
3393.5,318925.625,226946.79166666666,25500.25
3387.1666666666665,319373.3333333333,227284.66666666666,25401.916666666668
3387.0,319371.0,227307.0,25403.0
3391.0833333333335,318691.875,228024.25,25414.958333333332
